"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1799739471711342990","Sun Jun 09 20:18:02 +0000 2024","0","@sicepat_ekspres tidak. respon di sini saja. si cepat kok tidak cepat","1799898771439927371","","sicepat_ekspres","in","Banjarmasin, ID","0","0","0","https://x.com/riduu__/status/1799898771439927371","402673806","riduu__"
"1799694399905140990","Sun Jun 09 19:51:58 +0000 2024","0","@jsngparkk @sicepat_ekspres Kayaknya semuanya sm sengaja pesan sebelum 6.6 biar tdk over load malah jadinya ky gini. Emang dasarnya ekspedisi lambat. https://t.co/6ykTNo23Cz","1799892212584431771","https://pbs.twimg.com/media/GPqAbKhakAA0w1A.jpg","jsngparkk","in","","0","0","0","https://x.com/PurwoRaharjo4/status/1799892212584431771","1011554529496555521","PurwoRaharjo4"
"1799877809156010442","Sun Jun 09 18:54:44 +0000 2024","0","ada yang butuh admin packing dom sby? aku domisili sby pusat ada kendaraan pribadi rumah juga dekat dengan ekspedisi ( jnt jne sicepat ). Boleh langsung rep ya kakak (#zonauang #zonaba )","1799877809156010442","","","in","","0","1","0","https://x.com/magoistic/status/1799877809156010442","1340464879505821696","magoistic"
"1799748811017056347","Sun Jun 09 17:45:22 +0000 2024","0","@stiffmannn @stiffmannn Hai kak. Mohon maaf terkait kendala yang terjadi mohon menghubungi kembali melalui Whatsapp di nomor 0812-9966-6088 atau Email : customer.care@sicepat.com dan akan kami bantu pengecekan lebih lanjut ya kak. Terima kasih ^","1799860354429923402","","stiffmannn","in","Indonesia","0","0","0","https://x.com/sicepat_ekspres/status/1799860354429923402","4417582514","sicepat_ekspres"
"1799739471711342990","Sun Jun 09 17:45:11 +0000 2024","0","@riduu__ @riduu__ Hai kak. Mohon maaf terkait kendala yang terjadi mohon menghubungi kembali melalui Whatsapp di nomor 0812-9966-6088 atau Email : customer.care@sicepat.com dan akan kami bantu pengecekan lebih lanjut ya kak. Terima kasih ^","1799860306262606077","","riduu__","in","Indonesia","0","1","0","https://x.com/sicepat_ekspres/status/1799860306262606077","4417582514","sicepat_ekspres"
"1799856148402888930","Sun Jun 09 17:28:40 +0000 2024","0","sicepat nih mmg ngeselin ya tiap pake dia selau bermasalah anj","1799856148402888930","","","in","","0","0","0","https://x.com/slaysin_/status/1799856148402888930","801688315996958720","slaysin_"
"1799652806321934634","Sun Jun 09 17:05:51 +0000 2024","0","@aiwgu jnt sicepat aman","1799850409965830317","","aiwgu","in","CA-dnfwoc","0","0","0","https://x.com/poustergeex/status/1799850409965830317","1661780065053708289","poustergeex"
"1799835698020946200","Sun Jun 09 16:07:24 +0000 2024","0","@sicepat_ekspres emang boleh ya paket diterima ga sesuai tanggal? sengaja pake yg sameday tapi ga tepat waktu mana bikin bukti penerimaan palsu lg di shopee jelek bgt kurir lu https://t.co/TOLszQZwlH","1799835698020946200","https://pbs.twimg.com/media/GPpNBeoacAILaiO.jpg","sicepat_ekspres","in","","0","0","0","https://x.com/bandsinairina/status/1799835698020946200","1287501148195192832","bandsinairina"
"1236328356385153024","Sun Jun 09 15:37:34 +0000 2024","0","@ekoaristiawan @jawafess Sicepat","1799828190439076342","","ekoaristiawan","en","+62","0","0","0","https://x.com/cempelompat/status/1799828190439076342","1632564296256458752","cempelompat"
"1799820346906046582","Sun Jun 09 15:06:24 +0000 2024","0","baru mood diajakin adu bacot ayo dah sp aja gara2 kurir problematik sicepat bikin mood ancur","1799820346906046582","","","in","","0","0","0","https://x.com/imssky/status/1799820346906046582","1093064394978713601","imssky"
