"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1803488124494106891","Wed Jun 19 18:00:50 +0000 2024","0","sicepat bisa ga lu jangan lambat?","1803488124494106891","","","in","","0","0","0","https://x.com/hirahafizhah/status/1803488124494106891","521342886","hirahafizhah"
"1803484795583996248","Wed Jun 19 17:47:37 +0000 2024","0","sumpah aku td kesel sm org trus pasrah bangsattt orgnya tbtb kecelakaan ajg kmrn ada org jg sempet marahin aku pdhl aku diem doang bsk paginya langsung ilang ktmnya bro.... karma is more faster than sicepat","1803484795583996248","","","in","Indonesia","0","0","0","https://x.com/nelagitidur/status/1803484795583996248","1312019998295040001","nelagitidur"
"1803482714622115975","Wed Jun 19 17:39:20 +0000 2024","0","Absen yang belum bobo dan kangen pacar","1803482714622115975","","","in","","0","2","0","https://x.com/RonSICEPAT/status/1803482714622115975","1794708952317587456","RonSICEPAT"
"1803471838502330694","Wed Jun 19 17:13:49 +0000 2024","0","@holyibrasxz sumpah adm sicepat jg responnya gtu kmu sabar yahh️️️","1803476293356494958","","holyibrasxz","in","Wonu's heart","0","0","0","https://x.com/saturnwon_/status/1803476293356494958","1765731504901210112","saturnwon_"
"1803475150383509804","Wed Jun 19 17:09:17 +0000 2024","0","mau tanya kalian yang seller di shopee dan kalo ada buyer pake jasa ekspedisi sicepat trus misal ngirimnya lebih dari tgl 20 juni tp udah diatur pengiriman nanti bakal aman ga ya atau ada efeknya di toko/penghasilan? soalnya aku baru bs kirim tgl 21 juni #zonauang #zonajajan https://t.co/ge9A8dnCym","1803475150383509804","https://pbs.twimg.com/media/GQc7FlRbYAAHn3B.jpg","","in","0606","0","5","0","https://x.com/haechiloveu/status/1803475150383509804","1412096081874198537","haechiloveu"
"1803471838502330694","Wed Jun 19 17:08:00 +0000 2024","0","@saturnwon_ nih chatku sama sicepat &amp; seller","1803474828663673200","","holyibrasxz","in","˚ෆ Caratland .° ༘","0","1","0","https://x.com/holyibrasxz/status/1803474828663673200","1664094576649588738","holyibrasxz"
"1803103774124417391","Wed Jun 19 16:58:03 +0000 2024","0","@Haebong96 @sicepat_ekspres emang ngeselin bgt sumpah deh kak aku pun kesel bgtttt jugaan. masalahnya ilangnya dimana juga kita ga dikasi tau kan","1803472325020623253","","Haebong96","in","˚ෆ Caratland .° ༘","0","0","0","https://x.com/holyibrasxz/status/1803472325020623253","1664094576649588738","holyibrasxz"
"1803471838502330694","Wed Jun 19 16:56:07 +0000 2024","0","MASI GALAUIN POCA JH CARLAND YG DIILANGIN SAMA SICEPAT FAAKKKKK","1803471838502330694","","","in","˚ෆ Caratland .° ༘","0","1","0","https://x.com/holyibrasxz/status/1803471838502330694","1664094576649588738","holyibrasxz"
"1803462175417409768","Wed Jun 19 16:17:43 +0000 2024","0","@tokopedia @TokopediaCare min nggak ada rencana nambah ekspedisi yg ngelayanin gratis ongkir selain @JNE_ID @sicepat_ekspres sama @AnterajaCare @anteraja_id?","1803462175417409768","","tokopedia","in","","0","1","0","https://x.com/_alvinagusta/status/1803462175417409768","1472989899410186243","_alvinagusta"
"1803433390622085422","Wed Jun 19 14:23:21 +0000 2024","0","ksian seller pdhl dr sicepat yg teledor","1803433393306349753","","balsemgorengg","in","Indonesia","0","1","0","https://x.com/balsemgorengg/status/1803433393306349753","2292357356","balsemgorengg"
